SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
21997,893,0029700799,"FEB 25, 1998",CHI vs. POR,L,43,9,26,0.346,0,2,0.0,15,17,0.882,1,3,4,3,4,1,3,2,33,0.0,0
21997,893,0029700784,"FEB 23, 1998",CHI vs. CLE,W,29,7,14,0.5,0,1,0.0,3,4,0.75,2,5,7,6,0,1,2,3,17,20.0,0
21997,893,0029700769,"FEB 21, 1998",CHI @ WAS,W,42,8,23,0.348,0,0,0.0,3,5,0.6,3,5,8,3,1,2,1,3,19,5.0,0
21997,893,0029700752,"FEB 19, 1998",CHI @ TOR,W,28,5,9,0.556,1,2,0.5,5,6,0.833,0,4,4,5,0,0,1,2,16,32.0,0
21997,893,0029700738,"FEB 17, 1998",CHI vs. IND,W,40,13,23,0.565,0,2,0.0,1,3,0.333,2,2,4,6,1,1,2,4,27,-1.0,0
21997,893,0029700726,"FEB 15, 1998",CHI vs. DET,W,41,7,17,0.412,0,1,0.0,7,8,0.875,1,11,12,5,3,0,3,3,21,7.0,0
21997,893,0029700712,"FEB 13, 1998",CHI vs. ATL,W,36,14,22,0.636,0,1,0.0,9,12,0.75,3,4,7,1,1,0,2,0,37,12.0,0
21997,893,0029700696,"FEB 11, 1998",CHI @ CHH,W,41,11,22,0.5,0,0,0.0,7,9,0.778,1,3,4,6,0,0,1,2,29,-1.0,0
21997,893,0029700686,"FEB 10, 1998",CHI vs. TOR,W,34,8,21,0.381,0,3,0.0,2,5,0.4,2,3,5,1,2,0,2,1,18,1.0,0
21997,893,0029700672,"FEB 04, 1998",CHI @ UTA,L,43,17,37,0.459,1,5,0.2,5,6,0.833,2,5,7,3,2,1,1,2,40,-13.0,0
21997,893,0029700657,"FEB 02, 1998",CHI @ DEN,W,33,6,12,0.5,0,0,0.0,3,4,0.75,1,5,6,3,1,0,0,1,15,23.0,0
21997,893,0029700647,"FEB 01, 1998",CHI @ LAL,L,37,11,26,0.423,0,1,0.0,9,12,0.75,0,5,5,2,1,0,1,0,31,-25.0,0
21997,893,0029700635,"JAN 30, 1998",CHI @ GSW,W,41,2,17,0.118,0,0,0.0,10,11,0.909,3,5,8,3,3,1,2,0,14,9.0,0
21997,893,0029700625,"JAN 29, 1998",CHI @ POR,W,39,11,24,0.458,0,1,0.0,7,7,1.0,1,4,5,4,1,0,0,1,29,10.0,0
21997,893,0029700613,"JAN 27, 1998",CHI @ VAN,W,33,7,15,0.467,0,0,0.0,6,6,1.0,0,0,0,3,1,1,1,0,20,24.0,0
21997,893,0029700598,"JAN 25, 1998",CHI vs. UTA,L,44,13,26,0.5,0,4,0.0,6,7,0.857,3,2,5,7,2,0,3,4,32,-4.0,0
21997,893,0029700578,"JAN 23, 1998",CHI @ NJN,W,44,10,23,0.435,0,1,0.0,12,13,0.923,0,5,5,1,1,1,4,2,32,7.0,0
21997,893,0029700569,"JAN 21, 1998",CHI vs. CHH,W,31,14,23,0.609,1,3,0.333,4,4,1.0,1,4,5,6,3,1,1,2,33,18.0,0
21997,893,0029700546,"JAN 18, 1998",CHI vs. HOU,W,41,16,29,0.552,2,2,1.0,11,12,0.917,0,3,3,3,3,1,4,2,45,9.0,0
21997,893,0029700532,"JAN 16, 1998",CHI @ MIL,W,40,10,20,0.5,1,1,1.0,6,7,0.857,0,8,8,2,1,1,3,3,27,12.0,0
21997,893,0029700525,"JAN 15, 1998",CHI @ PHI,L,38,9,23,0.391,0,1,0.0,2,4,0.5,2,7,9,4,2,0,4,1,20,-25.0,0
21997,893,0029700511,"JAN 13, 1998",CHI vs. SEA,W,38,12,27,0.444,0,2,0.0,16,18,0.889,1,0,1,2,0,0,1,5,40,5.0,0
21997,893,0029700492,"JAN 10, 1998",CHI vs. GSW,W,39,13,31,0.419,0,1,0.0,6,10,0.6,4,2,6,3,0,0,1,0,32,7.0,0
21997,893,0029700481,"JAN 09, 1998",CHI @ NYK,W,42,17,33,0.515,1,4,0.25,9,10,0.9,1,3,4,2,3,1,1,3,44,7.0,0
21997,893,0029700467,"JAN 07, 1998",CHI @ MIA,L,37,12,27,0.444,1,2,0.5,1,3,0.333,2,2,4,1,1,0,1,0,26,-23.0,0
21997,893,0029700459,"JAN 06, 1998",CHI vs. BOS,W,41,5,13,0.385,0,1,0.0,9,12,0.75,1,2,3,4,3,0,3,0,19,19.0,0
21997,893,0029700442,"JAN 03, 1998",CHI @ DET,W,47,12,25,0.48,0,1,0.0,10,11,0.909,0,9,9,9,1,2,4,2,34,9.0,0
21997,893,0029700431,"JAN 02, 1998",CHI vs. MIL,W,43,15,22,0.682,1,1,1.0,13,15,0.867,1,4,5,1,2,0,0,1,44,15.0,0
21997,893,0029700416,"DEC 30, 1997",CHI @ MIN,L,39,11,28,0.393,1,3,0.333,10,13,0.769,0,4,4,1,0,0,3,1,33,-12.0,0
21997,893,0029700409,"DEC 29, 1997",CHI vs. DAL,W,42,16,29,0.552,0,1,0.0,9,11,0.818,1,6,7,0,0,2,2,1,41,14.0,0
21997,893,0029700396,"DEC 27, 1997",CHI vs. ATL,W,36,18,26,0.692,0,0,0.0,11,13,0.846,2,2,4,2,3,1,4,2,47,11.0,0
21997,893,0029700380,"DEC 25, 1997",CHI vs. MIA,W,38,8,20,0.4,0,1,0.0,8,12,0.667,4,7,11,4,2,0,3,0,24,17.0,0
21997,893,0029700375,"DEC 23, 1997",CHI vs. LAC,W,40,9,24,0.375,0,1,0.0,9,12,0.75,7,5,12,4,0,1,2,0,27,5.0,0
21997,893,0029700349,"DEC 20, 1997",CHI @ NJN,W,42,10,23,0.435,0,0,0.0,4,5,0.8,3,2,5,3,0,2,2,2,24,1.0,0
21997,893,0029700335,"DEC 17, 1997",CHI vs. LAL,W,35,12,22,0.545,1,2,0.5,11,12,0.917,2,3,5,4,1,1,4,4,36,21.0,0
21997,893,0029700317,"DEC 15, 1997",CHI vs. PHX,W,36,10,23,0.435,0,1,0.0,11,12,0.917,3,6,9,4,4,1,2,2,31,19.0,0
21997,893,0029700305,"DEC 13, 1997",CHI vs. TOR,W,27,4,16,0.25,0,0,0.0,3,4,0.75,3,3,6,2,2,0,0,0,11,24.0,0
21997,893,0029700293,"DEC 12, 1997",CHI @ CHH,L,41,12,24,0.5,0,0,0.0,4,6,0.667,3,6,9,5,0,0,4,2,28,3.0,0
21997,893,0029700280,"DEC 10, 1997",CHI @ ORL,L,37,6,17,0.353,0,1,0.0,13,13,1.0,1,1,2,5,1,0,3,3,25,-10.0,0
21997,893,0029700272,"DEC 09, 1997",CHI vs. NYK,W,37,10,23,0.435,0,0,0.0,9,9,1.0,1,3,4,4,1,0,4,4,29,17.0,0
21997,893,0029700245,"DEC 05, 1997",CHI vs. MIL,W,35,4,16,0.25,0,3,0.0,5,6,0.833,3,6,9,2,1,0,1,3,13,15.0,0
21997,893,0029700228,"DEC 03, 1997",CHI @ BOS,W,40,11,21,0.524,1,3,0.333,6,8,0.75,4,5,9,5,2,1,7,2,29,17.0,0
21997,893,0029700206,"NOV 29, 1997",CHI @ WAS,W,37,10,21,0.476,1,1,1.0,8,12,0.667,0,4,4,3,2,0,2,3,29,2.0,0
21997,893,0029700198,"NOV 28, 1997",CHI @ IND,L,42,11,26,0.423,0,2,0.0,4,8,0.5,1,6,7,2,2,0,1,3,26,1.0,0
21997,893,0029700182,"NOV 25, 1997",CHI @ SEA,L,38,11,25,0.44,0,2,0.0,4,6,0.667,2,4,6,5,5,0,3,1,26,7.0,0
21997,893,0029700173,"NOV 23, 1997",CHI @ SAC,W,41,11,19,0.579,0,0,0.0,11,12,0.917,1,2,3,5,2,1,2,1,33,10.0,0
21997,893,0029700157,"NOV 21, 1997",CHI @ LAC,W,52,18,38,0.474,0,2,0.0,13,19,0.684,2,3,5,5,1,1,4,3,49,15.0,0
21997,893,0029700151,"NOV 20, 1997",CHI @ PHX,L,41,13,27,0.481,0,1,0.0,4,6,0.667,1,5,6,3,1,0,3,0,30,4.0,0
21997,893,0029700118,"NOV 15, 1997",CHI vs. CLE,W,39,11,26,0.423,1,1,1.0,4,7,0.571,0,2,2,4,2,0,5,2,27,12.0,0
21997,893,0029700107,"NOV 14, 1997",CHI vs. CHH,W,38,12,24,0.5,2,2,1.0,2,2,1.0,1,3,4,7,1,1,2,0,28,17.0,0
21997,893,0029700092,"NOV 12, 1997",CHI vs. WAS,L,40,10,28,0.357,0,2,0.0,8,12,0.667,2,5,7,3,4,2,5,1,28,-4.0,0
21997,893,0029700084,"NOV 11, 1997",CHI @ CLE,L,34,7,17,0.412,0,1,0.0,5,7,0.714,2,4,6,1,1,0,3,1,19,-19.0,0
21997,893,0029700069,"NOV 08, 1997",CHI vs. NJN,W,33,5,13,0.385,0,1,0.0,5,8,0.625,1,4,5,2,2,0,2,3,15,6.0,0
21997,893,0029700057,"NOV 07, 1997",CHI @ ATL,L,40,11,25,0.44,0,1,0.0,5,7,0.714,1,8,9,6,1,0,2,1,27,-6.0,0
21997,893,0029700048,"NOV 05, 1997",CHI vs. ORL,W,41,11,25,0.44,0,3,0.0,7,9,0.778,4,13,17,4,0,0,0,2,29,20.0,0
21997,893,0029700030,"NOV 03, 1997",CHI vs. SAS,W,48,12,39,0.308,1,4,0.25,4,6,0.667,4,9,13,4,5,2,3,0,29,-6.0,0
21997,893,0029700018,"NOV 01, 1997",CHI vs. PHI,W,24,7,14,0.5,0,0,0.0,2,2,1.0,1,6,7,2,2,0,3,3,16,17.0,0
21997,893,0029700001,"OCT 31, 1997",CHI @ BOS,L,42,7,23,0.304,0,0,0.0,16,21,0.762,1,5,6,4,2,1,3,2,30,-8.0,0
21996,893,0029601176,"APR 19, 1997",CHI vs. NYK,L,39,14,22,0.636,1,1,1.0,4,8,0.5,0,3,3,3,2,0,4,4,33,-8.0,0
21996,893,0029601155,"APR 16, 1997",CHI @ MIA,L,39,11,27,0.407,2,5,0.4,2,4,0.5,1,7,8,3,0,1,3,5,26,-15.0,0
21996,893,0029601142,"APR 14, 1997",CHI vs. TOR,W,35,12,24,0.5,4,7,0.571,2,2,1.0,2,9,11,10,3,1,2,2,30,22.0,0
21996,893,0029601132,"APR 13, 1997",CHI @ DET,L,38,7,16,0.438,0,3,0.0,4,4,1.0,1,8,9,7,0,0,4,1,18,-18.0,0
21996,893,0029601105,"APR 10, 1997",CHI @ NYK,W,44,12,26,0.462,1,3,0.333,9,10,0.9,1,7,8,6,1,1,3,3,34,2.0,0
21996,893,0029601103,"APR 09, 1997",CHI @ IND,W,41,8,19,0.421,0,3,0.0,7,8,0.875,0,3,3,2,5,0,6,2,23,3.0,0
21996,893,0029601089,"APR 07, 1997",CHI vs. PHI,W,30,13,25,0.52,3,4,0.75,1,2,0.5,3,5,8,2,3,2,2,1,30,7.0,0
21996,893,0029601081,"APR 06, 1997",CHI @ ORL,W,40,13,22,0.591,3,6,0.5,8,9,0.889,2,6,8,5,3,1,4,3,37,30.0,0
21996,893,0029601066,"APR 04, 1997",CHI vs. CLE,W,38,9,16,0.563,0,1,0.0,4,5,0.8,1,4,5,3,1,2,0,2,22,18.0,0
21996,893,0029601057,"APR 03, 1997",CHI @ WAS,L,39,14,30,0.467,1,4,0.25,5,6,0.833,0,1,1,6,2,1,2,2,34,-3.0,0
21996,893,0029601042,"APR 01, 1997",CHI vs. BOS,W,27,8,11,0.727,0,0,0.0,5,9,0.556,0,8,8,2,2,0,2,1,21,20.0,0
21996,893,0029601027,"MAR 29, 1997",CHI vs. NJN,W,39,9,21,0.429,1,2,0.5,2,3,0.667,2,4,6,10,0,2,0,3,21,9.0,0
21996,893,0029601011,"MAR 27, 1997",CHI @ TOR,W,41,5,17,0.294,0,0,0.0,2,3,0.667,3,7,10,4,0,2,6,2,12,11.0,0
21996,893,0029600995,"MAR 25, 1997",CHI vs. DAL,W,36,9,20,0.45,0,1,0.0,2,2,1.0,0,1,1,3,3,0,2,3,20,-12.0,0
21996,893,0029600977,"MAR 22, 1997",CHI vs. DET,W,35,8,20,0.4,3,6,0.5,4,4,1.0,2,3,5,7,2,1,0,3,23,16.0,0
21996,893,0029600972,"MAR 21, 1997",CHI @ IND,W,40,11,25,0.44,1,3,0.333,13,14,0.929,4,2,6,4,2,1,2,0,36,17.0,0
21996,893,0029600948,"MAR 18, 1997",CHI vs. SEA,W,50,10,28,0.357,0,4,0.0,12,13,0.923,8,10,18,2,0,0,8,3,32,-2.0,0
21996,893,0029600924,"MAR 15, 1997",CHI vs. ATL,W,29,5,11,0.455,0,1,0.0,0,0,0.0,1,3,4,3,1,2,3,1,10,13.0,0
21996,893,0029600912,"MAR 14, 1997",CHI @ NJN,L,39,16,34,0.471,1,3,0.333,3,5,0.6,2,6,8,5,0,1,1,1,36,5.0,0
21996,893,0029600901,"MAR 12, 1997",CHI @ PHI,W,37,9,24,0.375,1,4,0.25,4,5,0.8,0,5,5,3,2,1,4,2,23,13.0,0
21996,893,0029600888,"MAR 11, 1997",CHI @ BOS,W,43,13,23,0.565,1,3,0.333,5,6,0.833,0,4,4,9,3,0,2,2,32,10.0,0
21996,893,0029600877,"MAR 09, 1997",CHI @ NYK,L,46,14,31,0.452,0,3,0.0,8,9,0.889,2,4,6,4,1,0,1,2,36,0.0,0
21996,893,0029600865,"MAR 07, 1997",CHI vs. IND,W,44,11,21,0.524,1,3,0.333,15,17,0.882,1,3,4,5,2,1,4,3,38,6.0,0
21996,893,0029600850,"MAR 05, 1997",CHI vs. SAS,W,24,7,17,0.412,1,4,0.25,1,2,0.5,1,1,2,4,2,0,0,1,16,23.0,0
21996,893,0029600835,"MAR 03, 1997",CHI vs. MIL,W,36,11,19,0.579,3,7,0.429,6,6,1.0,0,3,3,6,2,0,2,2,31,17.0,0
21996,893,0029600815,"FEB 28, 1997",CHI vs. SAC,W,35,13,20,0.65,5,7,0.714,4,5,0.8,1,8,9,6,1,1,2,2,35,29.0,0
21996,893,0029600805,"FEB 27, 1997",CHI @ CLE,L,43,7,25,0.28,0,3,0.0,9,9,1.0,1,7,8,4,0,0,2,2,23,-10.0,0
21996,893,0029600785,"FEB 24, 1997",CHI vs. POR,W,30,13,27,0.481,3,7,0.429,8,9,0.889,1,3,4,3,0,0,1,1,37,23.0,0
21996,893,0029600771,"FEB 22, 1997",CHI vs. GSW,W,31,13,19,0.684,5,8,0.625,3,4,0.75,1,4,5,1,3,0,2,1,34,22.0,0
21996,893,0029600758,"FEB 21, 1997",CHI @ WAS,W,45,13,28,0.464,3,4,0.75,7,12,0.583,1,3,4,4,1,0,2,2,36,4.0,0
21996,893,0029600739,"FEB 18, 1997",CHI vs. DEN,W,32,10,18,0.556,1,3,0.333,3,4,0.75,2,3,5,12,3,0,0,3,24,18.0,0
21996,893,0029600725,"FEB 16, 1997",CHI vs. ORL,W,38,8,20,0.4,3,4,0.75,0,0,0.0,1,7,8,10,4,0,2,3,19,25.0,0
21996,893,0029600709,"FEB 14, 1997",CHI @ ATL,W,45,13,28,0.464,1,2,0.5,3,5,0.6,3,5,8,4,2,0,4,0,30,3.0,0
21996,893,0029600686,"FEB 11, 1997",CHI vs. CHH,W,42,16,24,0.667,1,2,0.5,10,14,0.714,0,5,5,4,3,0,5,2,43,4.0,0
21996,893,0029600673,"FEB 05, 1997",CHI @ LAL,L,39,10,24,0.417,2,5,0.4,5,6,0.833,1,3,4,4,1,1,2,1,27,-7.0,0
21996,893,0029600667,"FEB 04, 1997",CHI @ POR,W,41,15,30,0.5,1,4,0.25,5,5,1.0,1,4,5,2,1,2,0,3,36,-1.0,0
21996,893,0029600655,"FEB 02, 1997",CHI @ SEA,W,45,19,28,0.679,2,3,0.667,5,6,0.833,3,4,7,3,1,0,1,2,45,4.0,0
21996,893,0029600636,"JAN 31, 1997",CHI @ GSW,W,32,8,17,0.471,1,6,0.167,1,1,1.0,0,4,4,8,3,0,2,2,18,22.0,0
21996,893,0029600630,"JAN 30, 1997",CHI @ SAC,W,40,11,19,0.579,1,5,0.2,9,10,0.9,0,6,6,2,3,0,2,3,32,13.0,0
21996,893,0029600616,"JAN 28, 1997",CHI @ VAN,W,32,12,19,0.632,1,3,0.333,3,4,0.75,1,3,4,3,4,0,2,1,28,9.0,0
21996,893,0029600596,"JAN 25, 1997",CHI vs. TOR,W,31,10,16,0.625,3,4,0.75,1,2,0.5,1,2,3,4,2,0,0,1,24,20.0,0
21996,893,0029600577,"JAN 23, 1997",CHI @ CLE,W,39,10,24,0.417,1,5,0.2,11,12,0.917,1,8,9,0,1,0,4,2,32,16.0,0
21996,893,0029600565,"JAN 21, 1997",CHI vs. NYK,W,43,18,30,0.6,5,8,0.625,10,11,0.909,1,3,4,4,2,0,2,1,51,7.0,0
21996,893,0029600548,"JAN 19, 1997",CHI @ HOU,L,43,8,25,0.32,1,6,0.167,9,9,1.0,3,11,14,5,1,1,1,0,26,-17.0,0
21996,893,0029600533,"JAN 17, 1997",CHI vs. MIL,W,36,10,15,0.667,1,2,0.5,3,4,0.75,1,6,7,11,2,0,1,2,24,22.0,0
21996,893,0029600518,"JAN 15, 1997",CHI @ MIN,W,35,12,22,0.545,1,5,0.2,0,0,0.0,1,2,3,4,1,1,3,2,25,15.0,0
21996,893,0029600510,"JAN 14, 1997",CHI vs. WAS,W,40,14,27,0.519,0,4,0.0,11,11,1.0,0,2,2,2,2,0,0,3,39,-9.0,0
21996,893,0029600494,"JAN 11, 1997",CHI vs. HOU,W,39,12,25,0.48,4,6,0.667,4,4,1.0,0,6,6,7,2,0,3,1,32,17.0,0
21996,893,0029600485,"JAN 10, 1997",CHI @ MIL,W,38,11,23,0.478,3,4,0.75,8,13,0.615,1,4,5,3,0,0,0,2,33,8.0,0
21996,893,0029600455,"JAN 06, 1997",CHI vs. UTA,W,40,8,20,0.4,2,3,0.667,5,6,0.833,3,5,8,3,3,1,1,1,23,24.0,0
21996,893,0029600437,"JAN 03, 1997",CHI vs. ORL,W,35,10,18,0.556,0,2,0.0,2,2,1.0,1,3,4,6,2,1,2,2,22,19.0,0
21996,893,0029600418,"DEC 30, 1996",CHI vs. IND,W,40,12,29,0.414,1,5,0.2,3,4,0.75,3,4,7,4,1,0,3,1,28,1.0,0
21996,893,0029600403,"DEC 28, 1996",CHI vs. CLE,W,42,13,25,0.52,0,1,0.0,19,20,0.95,2,5,7,5,3,0,4,4,45,17.0,0
21996,893,0029600384,"DEC 26, 1996",CHI @ ATL,L,40,10,25,0.4,2,5,0.4,12,13,0.923,0,3,3,1,2,1,0,2,34,-14.0,0
21996,893,0029600381,"DEC 25, 1996",CHI vs. DET,W,46,9,21,0.429,0,4,0.0,5,7,0.714,6,4,10,2,1,0,4,3,23,11.0,0
21996,893,0029600374,"DEC 23, 1996",CHI vs. NJN,W,33,10,18,0.556,0,1,0.0,4,4,1.0,2,1,3,4,0,0,3,1,24,19.0,0
21996,893,0029600359,"DEC 21, 1996",CHI @ PHI,W,44,12,29,0.414,1,3,0.333,6,8,0.75,0,1,1,3,1,1,1,4,31,5.0,0
21996,893,0029600343,"DEC 19, 1996",CHI @ CHH,W,36,13,27,0.481,3,8,0.375,6,7,0.857,5,3,8,1,1,1,2,0,35,28.0,0
21996,893,0029600330,"DEC 17, 1996",CHI vs. LAL,W,47,10,32,0.313,0,2,0.0,10,14,0.714,5,4,9,3,1,1,2,2,30,8.0,0
21996,893,0029600311,"DEC 14, 1996",CHI vs. CHH,W,41,10,26,0.385,0,3,0.0,9,12,0.75,2,7,9,5,5,0,1,0,29,7.0,0
21996,893,0029600300,"DEC 13, 1996",CHI @ NJN,W,34,9,19,0.474,3,5,0.6,11,12,0.917,0,6,6,6,4,0,1,2,32,27.0,0
21996,893,0029600291,"DEC 11, 1996",CHI vs. MIN,W,36,10,16,0.625,1,1,1.0,6,6,1.0,0,7,7,3,3,0,1,0,27,21.0,0
21996,893,0029600266,"DEC 08, 1996",CHI @ TOR,L,41,5,17,0.294,1,4,0.25,2,2,1.0,0,9,9,8,2,2,3,1,13,0.0,0
